epoch,loss,accuracy,set
1,0.5352681117832999,0.8623871035521783,train
2,0.4783776746622669,0.8774745326637095,train
3,0.45498277477089083,0.88435508997544,train
4,0.4402695482346759,0.8861509311852699,train
5,0.4302809101774134,0.8891216831306429,train
6,0.4198751579202529,0.8917725617808971,train
7,0.4119197219863731,0.8925243296334784,train
8,0.4068459139569946,0.8945350241570933,train
9,0.39929356645011044,0.8955672827920751,train
10,0.3914142620536747,0.8973351186750517,train
1,0.29233392188750684,0.920933734939759,eval
2,0.2751104125559487,0.9262048192771084,eval
3,0.27515420575306404,0.9254518072289156,eval
4,0.2766597530406939,0.9243222891566265,eval
5,0.2644559393429298,0.9307228915662651,eval
6,0.26380881399241646,0.9292168674698795,eval
7,0.25608349842010086,0.9280873493975904,eval
8,0.257487036085811,0.9314759036144579,eval
9,0.2575549686647368,0.9292168674698795,eval
10,0.2672079481417313,0.9231927710843374,eval
