epoch,loss,accuracy,set
1,5.529613324737548,0.0339000014901161,train
2,3.4942213549903892,0.2513085267579486,train
3,2.2766460615793611,0.4804283909672267,train
4,1.7457871621232640,0.5883430851045939,train
5,1.4470451249694824,0.6525335092274054,train
6,1.1063474381691116,0.7270286354315528,train
7,1.0005626077011989,0.7500739515616448,train
8,0.907944983598866,0.771444636977688,train
9,0.8372295344878685,0.7868628789436615,train
10,0.7735270360354439,0.8017280158338564,train
1,4.2136848449221595,0.1170906438419897,eval
2,2.1932277856748877,0.4838174144315443,eval
3,1.3695270587002369,0.6467987687439797,eval
4,1.1004392963071984,0.7334424148584071,eval
5,1.4103562350827363,0.6682878474634763,eval
6,0.6388339536230877,0.8335843373493976,eval
7,0.6956933766423937,0.8151355421686747,eval
8,0.4884350646051567,0.8670933734939759,eval
9,0.506348302739347,0.8569277108433735,eval
10,0.41965230969089384,0.8840361445783133,eval
