epoch,loss,accuracy,set
1,0.343232348037352,0.9048751137657742,train
2,0.29457762414494454,0.9191193201816825,train
3,0.270183503179193,0.9250525099793995,train
4,0.2520226293783952,0.9307301512287335,train
5,0.2380724138148932,0.9345773821967761,train
6,0.22934671143837457,0.9374838094179482,train
7,0.22297866006675818,0.938842505070122,train
8,0.2151121596874412,0.942138818869744,train
9,0.20728358830869312,0.9433837429111531,train
10,0.20387050763850006,0.9446649863499099,train
1,0.29122454672236575,0.9216867469879518,eval
2,0.2758679210420619,0.9254518072289156,eval
3,0.2641002305345448,0.9284638554216867,eval
4,0.2570940319778144,0.9280873493975904,eval
5,0.2421035149950567,0.9348644578313253,eval
6,0.24592265077159706,0.9299698795180723,eval
7,0.23339777995241925,0.9359939759036144,eval
8,0.2266213669528722,0.9371234939759037,eval
9,0.2422723051169658,0.9359939759036144,eval
10,0.2380880145536095,0.9352409638554217,eval
